AFG,2017,638,Maternal mortality ratio (deaths per 100,000 live births)
AGO,2017,241,Maternal mortality ratio (deaths per 100,000 live births)
ALB,2017,15,Maternal mortality ratio (deaths per 100,000 live births)
ARE,2017,3,Maternal mortality ratio (deaths per 100,000 live births)
ARG,2017,39,Maternal mortality ratio (deaths per 100,000 live births)
ARM,2017,26,Maternal mortality ratio (deaths per 100,000 live births)
ATG,2017,42,Maternal mortality ratio (deaths per 100,000 live births)
AUS,2017,6,Maternal mortality ratio (deaths per 100,000 live births)
AUT,2017,5,Maternal mortality ratio (deaths per 100,000 live births)
AZE,2017,26,Maternal mortality ratio (deaths per 100,000 live births)
BDI,2017,548,Maternal mortality ratio (deaths per 100,000 live births)
BEL,2017,5,Maternal mortality ratio (deaths per 100,000 live births)
BEN,2017,397,Maternal mortality ratio (deaths per 100,000 live births)
BFA,2017,320,Maternal mortality ratio (deaths per 100,000 live births)
BGD,2017,173,Maternal mortality ratio (deaths per 100,000 live births)
BGR,2017,10,Maternal mortality ratio (deaths per 100,000 live births)
BHR,2017,14,Maternal mortality ratio (deaths per 100,000 live births)
BHS,2017,70,Maternal mortality ratio (deaths per 100,000 live births)
BIH,2017,10,Maternal mortality ratio (deaths per 100,000 live births)
BLR,2017,2,Maternal mortality ratio (deaths per 100,000 live births)
BLZ,2017,36,Maternal mortality ratio (deaths per 100,000 live births)
BOL,2017,155,Maternal mortality ratio (deaths per 100,000 live births)
BRA,2017,60,Maternal mortality ratio (deaths per 100,000 live births)
BRB,2017,27,Maternal mortality ratio (deaths per 100,000 live births)
BRN,2017,31,Maternal mortality ratio (deaths per 100,000 live births)
BTN,2017,183,Maternal mortality ratio (deaths per 100,000 live births)
BWA,2017,144,Maternal mortality ratio (deaths per 100,000 live births)
CAF,2017,829,Maternal mortality ratio (deaths per 100,000 live births)
CAN,2017,10,Maternal mortality ratio (deaths per 100,000 live births)
CHE,2017,5,Maternal mortality ratio (deaths per 100,000 live births)
CHL,2017,13,Maternal mortality ratio (deaths per 100,000 live births)
CHN,2017,29,Maternal mortality ratio (deaths per 100,000 live births)
CIV,2017,617,Maternal mortality ratio (deaths per 100,000 live births)
CMR,2017,529,Maternal mortality ratio (deaths per 100,000 live births)
COD,2017,473,Maternal mortality ratio (deaths per 100,000 live births)
COG,2017,378,Maternal mortality ratio (deaths per 100,000 live births)
COL,2017,83,Maternal mortality ratio (deaths per 100,000 live births)
COM,2017,273,Maternal mortality ratio (deaths per 100,000 live births)
CPV,2017,58,Maternal mortality ratio (deaths per 100,000 live births)
CRI,2017,27,Maternal mortality ratio (deaths per 100,000 live births)
CUB,2017,36,Maternal mortality ratio (deaths per 100,000 live births)
CYP,2017,6,Maternal mortality ratio (deaths per 100,000 live births)
CZE,2017,3,Maternal mortality ratio (deaths per 100,000 live births)
DEU,2017,7,Maternal mortality ratio (deaths per 100,000 live births)
DJI,2017,248,Maternal mortality ratio (deaths per 100,000 live births)
DNK,2017,4,Maternal mortality ratio (deaths per 100,000 live births)
DOM,2017,95,Maternal mortality ratio (deaths per 100,000 live births)
DZA,2017,112,Maternal mortality ratio (deaths per 100,000 live births)
ECU,2017,59,Maternal mortality ratio (deaths per 100,000 live births)
EGY,2017,37,Maternal mortality ratio (deaths per 100,000 live births)
ERI,2017,480,Maternal mortality ratio (deaths per 100,000 live births)
ESP,2017,4,Maternal mortality ratio (deaths per 100,000 live births)
EST,2017,9,Maternal mortality ratio (deaths per 100,000 live births)
ETH,2017,401,Maternal mortality ratio (deaths per 100,000 live births)
FIN,2017,3,Maternal mortality ratio (deaths per 100,000 live births)
FJI,2017,34,Maternal mortality ratio (deaths per 100,000 live births)
FRA,2017,8,Maternal mortality ratio (deaths per 100,000 live births)
FSM,2017,88,Maternal mortality ratio (deaths per 100,000 live births)
GAB,2017,252,Maternal mortality ratio (deaths per 100,000 live births)
GBR,2017,7,Maternal mortality ratio (deaths per 100,000 live births)
GEO,2017,25,Maternal mortality ratio (deaths per 100,000 live births)
GHA,2017,308,Maternal mortality ratio (deaths per 100,000 live births)
GIN,2017,576,Maternal mortality ratio (deaths per 100,000 live births)
GMB,2017,597,Maternal mortality ratio (deaths per 100,000 live births)
GNB,2017,667,Maternal mortality ratio (deaths per 100,000 live births)
GNQ,2017,301,Maternal mortality ratio (deaths per 100,000 live births)
GRC,2017,3,Maternal mortality ratio (deaths per 100,000 live births)
GRD,2017,25,Maternal mortality ratio (deaths per 100,000 live births)
GTM,2017,95,Maternal mortality ratio (deaths per 100,000 live births)
GUY,2017,169,Maternal mortality ratio (deaths per 100,000 live births)
HND,2017,65,Maternal mortality ratio (deaths per 100,000 live births)
HRV,2017,8,Maternal mortality ratio (deaths per 100,000 live births)
HTI,2017,480,Maternal mortality ratio (deaths per 100,000 live births)
HUN,2017,12,Maternal mortality ratio (deaths per 100,000 live births)
IDN,2017,177,Maternal mortality ratio (deaths per 100,000 live births)
IND,2017,133,Maternal mortality ratio (deaths per 100,000 live births)
IRL,2017,5,Maternal mortality ratio (deaths per 100,000 live births)
IRN,2017,16,Maternal mortality ratio (deaths per 100,000 live births)
IRQ,2017,79,Maternal mortality ratio (deaths per 100,000 live births)
ISL,2017,4,Maternal mortality ratio (deaths per 100,000 live births)
ISR,2017,3,Maternal mortality ratio (deaths per 100,000 live births)
ITA,2017,2,Maternal mortality ratio (deaths per 100,000 live births)
JAM,2017,80,Maternal mortality ratio (deaths per 100,000 live births)
JOR,2017,46,Maternal mortality ratio (deaths per 100,000 live births)
JPN,2017,5,Maternal mortality ratio (deaths per 100,000 live births)
KAZ,2017,10,Maternal mortality ratio (deaths per 100,000 live births)
KEN,2017,342,Maternal mortality ratio (deaths per 100,000 live births)
KGZ,2017,60,Maternal mortality ratio (deaths per 100,000 live births)
KHM,2017,160,Maternal mortality ratio (deaths per 100,000 live births)
KIR,2017,92,Maternal mortality ratio (deaths per 100,000 live births)
KOR,2017,11,Maternal mortality ratio (deaths per 100,000 live births)
KWT,2017,12,Maternal mortality ratio (deaths per 100,000 live births)
LAO,2017,185,Maternal mortality ratio (deaths per 100,000 live births)
LBN,2017,29,Maternal mortality ratio (deaths per 100,000 live births)
LBR,2017,661,Maternal mortality ratio (deaths per 100,000 live births)
LBY,2017,72,Maternal mortality ratio (deaths per 100,000 live births)
LCA,2017,117,Maternal mortality ratio (deaths per 100,000 live births)
LKA,2017,36,Maternal mortality ratio (deaths per 100,000 live births)
LSO,2017,544,Maternal mortality ratio (deaths per 100,000 live births)
LTU,2017,8,Maternal mortality ratio (deaths per 100,000 live births)
LUX,2017,5,Maternal mortality ratio (deaths per 100,000 live births)
LVA,2017,19,Maternal mortality ratio (deaths per 100,000 live births)
MAR,2017,70,Maternal mortality ratio (deaths per 100,000 live births)
MDA,2017,19,Maternal mortality ratio (deaths per 100,000 live births)
MDG,2017,335,Maternal mortality ratio (deaths per 100,000 live births)
MDV,2017,53,Maternal mortality ratio (deaths per 100,000 live births)
MEX,2017,33,Maternal mortality ratio (deaths per 100,000 live births)
MKD,2017,7,Maternal mortality ratio (deaths per 100,000 live births)
MLI,2017,562,Maternal mortality ratio (deaths per 100,000 live births)
MLT,2017,6,Maternal mortality ratio (deaths per 100,000 live births)
MMR,2017,250,Maternal mortality ratio (deaths per 100,000 live births)
MNE,2017,6,Maternal mortality ratio (deaths per 100,000 live births)
MNG,2017,45,Maternal mortality ratio (deaths per 100,000 live births)
MOZ,2017,289,Maternal mortality ratio (deaths per 100,000 live births)
MRT,2017,766,Maternal mortality ratio (deaths per 100,000 live births)
MUS,2017,61,Maternal mortality ratio (deaths per 100,000 live births)
MWI,2017,349,Maternal mortality ratio (deaths per 100,000 live births)
MYS,2017,29,Maternal mortality ratio (deaths per 100,000 live births)
NAM,2017,195,Maternal mortality ratio (deaths per 100,000 live births)
NER,2017,509,Maternal mortality ratio (deaths per 100,000 live births)
